task_id,task_name,language,repo,model,provider,difficulty,resolved,model_attempt_n,model_attempts_total,pass_n,task_attempts_total,passed_on_attempt,prior_failed_attempts,turns,wall_seconds,agent_span_s,model_time_s,tool_time_s,model_time_pct,post_agent_hang_s,cost_usd,llm_calls,patch_bytes,f2p,p2p,timestamp_utc
serverless__serverless-6749,FetchError: network timeout on tracking.serverlessteam.com,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,unrated,not verified,1,1,1,2,,0,46,360,356.96,129.32,80.11,36.2,3.04,0.4041586,46,0,,,20260807T055604Z
matplotlib__matplotlib-25433,,,matplotlib/matplotlib,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,43,368,365.13,233.44,14.22,63.9,2.87,0.3440866000000001,43,2359,1/1,55/55,20260819T141122Z
serverless__serverless-5571,schedule from file with default value removes space,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,40,377,369.64,95.79,176.22,25.9,7.36,0.30287620000000004,40,2472,1/1,114/114,20260817T111022Z
sveltejs__svelte-2092,Proposal: `dev: true` only affects runtime warnings and errors,JavaScript,sveltejs/svelte,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,40,5103,653.16,46.05,354.64,7.1,4449.84,0.2533444000000001,40,3320,1/1,1788/1788,20260817T123836Z
prettier__prettier-5015,Pipe operator with comment problem,JavaScript,prettier/prettier,anthropic/claude-sonnet-5,openrouter,hard,no,1,1,2,2,,1,35,733,729.74,104.57,538.7,14.3,3.26,0.24561710000000003,35,397809,0/1,0/0,20260817T144242Z
django__django-15902,,,django/django,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,41,226,222.94,119.33,6.11,53.5,3.06,0.2388972,41,1770,1/1,112/112,20260819T133312Z
mwaskom__seaborn-3190,,,mwaskom/seaborn,anthropic/claude-sonnet-5,openrouter,hard,no,1,2,1,2,,0,34,228,221.37,125.76,4.56,56.8,6.63,0.20491480000000004,34,1444,0/1,84/84,20260819T142602Z
matplotlib__matplotlib-23476,,,matplotlib/matplotlib,anthropic/claude-sonnet-5,openrouter,hard,no,2,2,2,2,,1,32,203,169.99,94.9,7.82,55.8,33.01,0.19213990000000006,32,1307,1/1,100/104,20260820T105522Z
matplotlib__matplotlib-23476,,,matplotlib/matplotlib,anthropic/claude-sonnet-5,openrouter,hard,no,1,2,1,2,,0,29,160,157.52,86.89,5.63,55.2,2.48,0.176792,29,1307,1/1,100/104,20260819T144010Z
serverless__serverless-7374,serverlessrc keeps changing,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,23,138,134.82,69.07,8.55,51.2,3.18,0.16799670000000003,23,1477,1/1,5/5,20260813T084515Z
prettier__prettier-361,Export extension syntax not formatted correctly,JavaScript,prettier/prettier,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,31,239,236.63,51.2,112.57,21.6,2.37,0.1522079,31,343461,1/1,0/0,20260817T110223Z
serverless__serverless-5775,Fallback value for unset variable is removing spaces,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,2,1,0,27,143,140.51,38.65,45.3,27.5,2.49,0.13882870000000003,27,1293,1/1,150/150,20260818T165046Z
serverless__serverless-2842,Include Multiple Resource Files,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,hard,no,1,1,1,2,,0,20,116,114.09,40.58,27.67,35.6,1.91,0.1169974,20,4196,0/1,26/26,20260818T165711Z
pytest-dev__pytest-6116,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,no,2,2,2,2,,1,15,74,69.6,28.36,2.15,40.7,4.4,0.11043760000000002,15,695,0/2,0/69,20260820T111929Z
sympy__sympy-20212,,,sympy/sympy,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,23,296,294.01,46.99,183.6,16.0,1.99,0.10200379999999999,23,518,1/1,32/32,20260819T130514Z
langchain-ai__langchain-3367,Terminal tool gives `ValueError: Could not parse LLM output:` when there is a new libe before action string.,Python,langchain-ai/langchain,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,2,1,0,19,107,104.45,53.1,4.04,50.8,2.55,0.0943166,19,783,1/1,9/9,20260813T084127Z
pytest-dev__pytest-7432,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,not verified,2,2,2,2,,1,20,82,79.01,34.24,5.39,43.3,2.99,0.09047470000000002,20,773,,,20260820T115213Z
sympy__sympy-21614,,,sympy/sympy,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,27,115,110.8,34.56,9.74,31.2,4.2,0.0861889,27,1266,1/1,6/6,20260819T132606Z
pytest-dev__pytest-6116,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,no,1,2,1,2,,0,13,82,78.46,45.21,1.79,57.6,3.54,0.0807403,13,0,0/2,69/69,20260819T144611Z
mwaskom__seaborn-3010,,,mwaskom/seaborn,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,17,74,69.78,24.81,1.15,35.5,4.22,0.08011839999999999,17,1087,1/1,2/2,20260819T143420Z
pytest-dev__pytest-7432,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,no,1,2,1,2,,0,19,82,79.68,34.47,3.08,43.3,2.32,0.0721715,19,490,1/1,72/77,20260819T133624Z
sympy__sympy-13971,,,sympy/sympy,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,15,70,67.87,30.32,2.33,44.7,2.13,0.0712728,15,2691,1/1,102/102,20260819T135742Z
langchain-ai__langchain-4420,WhatsAppChatLoader doesn't work on chats exported from WhatsApp,Python,langchain-ai/langchain,anthropic/claude-sonnet-5,openrouter,hard,no,1,1,1,2,,0,13,72,67.77,33.69,3.5,49.7,4.23,0.0695428,13,1760,0/1,0/0,20260813T081923Z
django__django-13447,,,django/django,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,18,70,67.54,24.5,2.65,36.3,2.46,0.06692370000000003,18,2290,1/1,5/5,20260819T140118Z
pydata__xarray-4094,,,pydata/xarray,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,12,85,82.92,45.13,2.73,54.4,2.08,0.05957729999999999,12,551,1/1,862/862,20260819T142948Z
sympy__sympy-13647,,,sympy/sympy,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,12,63,60.62,29.46,1.37,48.6,2.38,0.058757699999999996,12,531,1/1,76/76,20260819T141713Z
serverless__serverless-7031,AWS - ability to request DynamoDB.DocumentClient in a plugin,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,2,1,0,14,61,58.46,21.33,6.48,36.5,2.54,0.05640490000000001,14,2027,1/1,92/92,20260818T165849Z
langchain-ai__langchain-6456,ChatPromptTemplate with partial variables is giving validation error,Python,langchain-ai/langchain,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,2,1,0,13,55,51.86,18.96,1.53,36.6,3.14,0.052156100000000004,13,653,2/2,9/9,20260813T083753Z
mwaskom__seaborn-3190,,,mwaskom/seaborn,anthropic/claude-sonnet-5,openrouter,hard,no,2,2,2,2,,1,11,49,47.97,22.35,0.87,46.6,1.03,0.04669020000000001,11,663,0/1,84/84,20260820T101718Z
django__django-14411,,,django/django,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,4,22,19.93,7.71,0.17,38.7,2.07,0.011213700000000002,4,456,1/1,83/83,20260819T130801Z
scikit-learn__scikit-learn-13439,,,scikit-learn/scikit-learn,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,4,18,15.07,3.5,0.19,23.2,2.93,0.0102412,4,487,1/1,40/40,20260819T141944Z
django__django-14915,,,django/django,anthropic/claude-sonnet-5,openrouter,easy,yes,1,1,1,1,1,0,4,19,15.77,4.24,0.19,26.9,3.23,0.0098489,4,402,1/1,23/23,20260819T131014Z
sveltejs__svelte-4332,:global(...) .child selector is given svelte- suffix if there is a variable class name in the html,JavaScript,sveltejs/svelte,anthropic/claude-sonnet-5,openrouter,hard,no,1,1,2,2,,1,1,9,1.67,0.07,0.0,4.0,7.33,0.0,1,0,0/1,2692/2692,20260817T144404Z
serverless__serverless-2842,Include Multiple Resource Files,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,hard,no,1,1,2,2,,1,51,275,271.92,157.59,75.63,58.0,3.08,0.45946356000000005,51,6989,0/1,26/26,20260818T181113Z
serverless__serverless-5775,Fallback value for unset variable is removing spaces,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,35,275,273.45,139.52,103.76,51.0,1.55,0.45019446999999985,35,531642,1/1,150/150,20260818T180144Z
serverless__serverless-5602,Parent paths no longer working for package inclusions/exclusions,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,40,233,228.3,131.57,64.62,57.6,4.7,0.3635118499999999,40,2632,1/1,9/9,20260818T134101Z
sveltejs__svelte-3141,:not(...) styles are broken,JavaScript,sveltejs/svelte,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,3,3,3,1,65,504,501.33,312.66,143.39,62.4,2.67,0.35746959000000006,65,1557,1/1,50/50,20260817T165825Z
langchain-ai__langchain-6456,ChatPromptTemplate with partial variables is giving validation error,Python,langchain-ai/langchain,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,48,287,285.1,161.42,90.1,56.6,1.9,0.21394533999999996,48,4649,2/2,9/9,20260818T134938Z
prettier__prettier-3405,1.9: Trailing comma not adding in code blocks in markdown,JavaScript,prettier/prettier,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,36,183,180.21,77.45,79.91,43.0,2.79,0.20998340000000001,36,2029,1/1,0/0,20260817T174056Z
serverless__serverless-4794,AWS deploy fails with empty error message if S3.headObject responds with 403,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,medium,no,1,1,2,2,,0,27,111,108.22,43.63,48.7,40.3,2.78,0.12772398,27,528883,0/1,81/81,20260817T173646Z
langchain-ai__langchain-3367,Terminal tool gives `ValueError: Could not parse LLM output:` when there is a new libe before action string.,Python,langchain-ai/langchain,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,31,95,92.98,70.06,6.62,75.4,2.02,0.11240019999999998,31,1853,1/1,9/9,20260818T134313Z
prettier__prettier-12930,Syntax error after formatting when using computed key in TypeScript enum,JavaScript,prettier/prettier,moonshotai/kimi-k2.7-code,openrouter,medium,yes,1,1,2,2,2,0,41,269,266.42,70.6,175.83,26.5,2.58,0.09371571999999997,41,2334,1/1,5/5,20260817T173428Z
serverless__serverless-7031,AWS - ability to request DynamoDB.DocumentClient in a plugin,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,easy,yes,1,1,2,2,2,0,14,154,150.68,23.91,115.01,15.9,3.32,0.059680300000000006,14,2038,1/1,92/92,20260818T180528Z
langchain-ai__langchain-7653,SQLite LLM cache clear does not take effect,Python,langchain-ai/langchain,moonshotai/kimi-k2.7-code,openrouter,easy,yes,1,1,2,2,2,0,17,62,59.44,49.38,0.96,83.1,2.56,0.05569514,17,1764,1/1,9/9,20260818T133517Z
sveltejs__svelte-3141,:not(...) styles are broken,JavaScript,sveltejs/svelte,qwen/qwen3-coder-plus,openrouter,medium,no,1,1,2,3,,0,24,567,229.9,56.47,147.03,24.6,337.1,0.05626984999999999,24,285827,0/1,50/50,20260817T161619Z
