task_id,task_name,language,repo,model,provider,difficulty,model_attempt_n,model_attempts_total,pass_n,task_attempts_total,passed_on_attempt,prior_failed_attempts,turns,wall_seconds,agent_span_s,model_time_s,tool_time_s,model_time_pct,post_agent_hang_s,cost_usd,llm_calls,patch_bytes,f2p,p2p,timestamp_utc
prettier__prettier-5015,Pipe operator with comment problem,JavaScript,prettier/prettier,anthropic/claude-sonnet-5,openrouter,hard,1,1,2,2,,1,35,733,729.74,104.57,538.7,14.3,3.26,0.24561710000000003,35,397809,0/1,0/0,20260817T144242Z
mwaskom__seaborn-3190,,,mwaskom/seaborn,anthropic/claude-sonnet-5,openrouter,hard,1,2,1,2,,0,34,228,221.37,125.76,4.56,56.8,6.63,0.20491480000000004,34,1444,0/1,84/84,20260819T142602Z
matplotlib__matplotlib-23476,,,matplotlib/matplotlib,anthropic/claude-sonnet-5,openrouter,hard,2,2,2,2,,1,32,203,169.99,94.9,7.82,55.8,33.01,0.19213990000000006,32,1307,1/1,100/104,20260820T105522Z
matplotlib__matplotlib-23476,,,matplotlib/matplotlib,anthropic/claude-sonnet-5,openrouter,hard,1,2,1,2,,0,29,160,157.52,86.89,5.63,55.2,2.48,0.176792,29,1307,1/1,100/104,20260819T144010Z
serverless__serverless-2842,Include Multiple Resource Files,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,hard,1,1,1,2,,0,20,116,114.09,40.58,27.67,35.6,1.91,0.1169974,20,4196,0/1,26/26,20260818T165711Z
pytest-dev__pytest-6116,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,2,2,2,2,,1,15,74,69.6,28.36,2.15,40.7,4.4,0.11043760000000002,15,695,0/2,0/69,20260820T111929Z
pytest-dev__pytest-6116,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,1,2,1,2,,0,13,82,78.46,45.21,1.79,57.6,3.54,0.0807403,13,0,0/2,69/69,20260819T144611Z
pytest-dev__pytest-7432,,,pytest-dev/pytest,anthropic/claude-sonnet-5,openrouter,hard,1,2,1,2,,0,19,82,79.68,34.47,3.08,43.3,2.32,0.0721715,19,490,1/1,72/77,20260819T133624Z
langchain-ai__langchain-4420,WhatsAppChatLoader doesn't work on chats exported from WhatsApp,Python,langchain-ai/langchain,anthropic/claude-sonnet-5,openrouter,hard,1,1,1,2,,0,13,72,67.77,33.69,3.5,49.7,4.23,0.0695428,13,1760,0/1,0/0,20260813T081923Z
mwaskom__seaborn-3190,,,mwaskom/seaborn,anthropic/claude-sonnet-5,openrouter,hard,2,2,2,2,,1,11,49,47.97,22.35,0.87,46.6,1.03,0.04669020000000001,11,663,0/1,84/84,20260820T101718Z
sveltejs__svelte-4332,:global(...) .child selector is given svelte- suffix if there is a variable class name in the html,JavaScript,sveltejs/svelte,anthropic/claude-sonnet-5,openrouter,hard,1,1,2,2,,1,1,9,1.67,0.07,0.0,4.0,7.33,0.0,1,0,0/1,2692/2692,20260817T144404Z
serverless__serverless-2842,Include Multiple Resource Files,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,hard,1,1,2,2,,1,51,275,271.92,157.59,75.63,58.0,3.08,0.45946356000000005,51,6989,0/1,26/26,20260818T181113Z
serverless__serverless-4794,AWS deploy fails with empty error message if S3.headObject responds with 403,JavaScript,serverless/serverless,moonshotai/kimi-k2.7-code,openrouter,medium,1,1,2,2,,0,27,111,108.22,43.63,48.7,40.3,2.78,0.12772398,27,528883,0/1,81/81,20260817T173646Z
sveltejs__svelte-3141,:not(...) styles are broken,JavaScript,sveltejs/svelte,qwen/qwen3-coder-plus,openrouter,medium,1,1,2,3,,0,24,567,229.9,56.47,147.03,24.6,337.1,0.05626984999999999,24,285827,0/1,50/50,20260817T161619Z
